token_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,3.3787622,2.8015351,2.787599,2.7069585,2.782053,2.6832647,2.4876986,3.0274947,3.6015563,3.2377987,3.2465565,2.7671516,2.8222992,2.609799,2.4331496,2.889318,3.631713,3.2087812,2.0633054,1.9247108,2.1706078,2.3321195,2.4149003,2.7081957,3.6072125,2.9607508,2.1024356,2.2837908,2.1527398,2.3391984,2.600156,2.2393818,3.5960715,3.2226892,2.2877033,2.7163663,2.1117773,2.3496482,1.9478854,1.1231816,3.6022935,3.2537062,2.62531,2.1375558,2.3371916,1.2839735,2.9967797,3.3991663,3.6350846,3.4988766,3.139464,1.6713104,2.3562374,1.80095,2.763656,3.1256309,2.8291879,1.7194031,1.6711203,1.5537002,2.6104462,2.8499732,1.7852223,2.172105
1,1.4174069,1.4208131,1.4392835,1.4675484,1.4519328,1.4188724,1.4179423,1.3438694,1.8843336,2.0043268,1.9679983,1.8300754,2.016983,1.9608381,1.9562367,1.73521,1.9250283,1.802414,1.99733,1.7229376,2.1547465,1.9698831,1.964968,1.7764629,1.919544,1.5069929,1.9510571,2.161215,1.8623588,2.2705169,1.7970027,1.8899595,1.8962985,1.6221898,0.9220616,1.6541595,1.8925338,1.1459831,1.7665163,1.9593968,1.9885173,1.6862814,0.87967426,1.0107216,0.9615887,0.50402087,1.9177248,1.6624366,1.7409177,1.9967664,2.2039182,0.14300771,2.5137784,2.0035033,0.4259456,0.90701276,0.9227617,0.90644616,1.3498323,1.5602943,2.724904,0.80036575,0.6337034,1.0735952
2,1.6665393,1.6783439,1.6889032,1.6885184,1.6837463,1.6793299,1.6754104,1.7404943,1.0607269,1.1643322,1.1823795,1.347014,1.3982006,1.0695162,1.0826335,0.9359615,1.1040844,1.3051113,1.8139095,2.44322,2.238663,1.3682548,1.0854055,0.9359615,1.1076366,1.0559008,1.4754274,1.693722,1.63301,1.6765563,1.1374204,0.9359616,1.0579648,1.3382661,1.3014045,1.4428089,1.3896272,1.4278336,1.1825497,0.95177466,1.1269346,1.2702096,1.6780308,0.9844867,1.5139781,0.71726936,1.2371303,1.0137291,1.1139305,1.3003974,1.963518,1.0176463,1.5899243,0.95819455,1.0553282,0.9890867,1.0269692,1.1019965,1.3959211,1.1876978,1.0648036,2.5770946,1.8622956,0.87108654
3,1.6665393,1.6930522,1.7346972,1.7428939,1.7502972,1.7434374,1.7147876,1.7403567,1.0823965,1.1701131,1.0255448,1.0129055,0.92647,0.91362244,1.2163445,0.94273704,1.0470568,0.8914432,0.7002748,0.7198717,0.43320143,0.8355038,1.1983271,0.9695539,1.0524168,0.87049675,0.42634445,0.19679375,0.07487964,0.569935,1.1287622,1.0525305,1.0756913,1.1256416,1.4324515,1.6986883,0.90211457,1.0250999,1.0475651,0.6823093,1.0674937,1.0916553,1.4344805,1.3218137,1.7867932,0.81938696,0.21608904,0.70083535,1.0165751,0.916872,1.0896697,0.88986605,1.2187347,0.4847076,0.94464564,0.9700353,1.022524,0.83885217,0.7504086,0.37643242,0.46299323,1.2777433,0.63797784,0.9364573
4,1.4174069,1.4277068,1.5223823,1.4845822,1.4803921,1.4812353,1.4611707,1.3447059,1.8836696,2.040411,1.923526,1.4825846,1.6497585,1.9907022,2.0064726,1.8120991,1.8848045,1.9606391,0.8023958,0.9040526,0.8743561,1.0259413,1.3106341,1.7009541,1.8950261,1.8634505,1.4649916,1.5180087,1.1524282,1.0335459,1.3888991,1.8133174,1.8838351,1.9739842,1.557832,1.6507324,1.2488667,1.8151126,1.8139783,1.0017688,1.8873464,1.9207715,1.7229949,1.1688192,1.4019256,1.1326712,0.25561383,0.97615993,1.9485543,2.1297758,2.1064198,0.7775963,2.5137784,2.0035033,0.37411684,0.9123367,1.669104,1.0853387,0.7315241,1.5870408,2.724904,0.80036575,0.6337034,1.0735952
5,1.6665393,1.680855,1.7001921,1.7020948,1.683012,1.6923214,1.6754104,1.7404943,1.0734258,1.1316857,1.2269026,1.5610188,1.4664534,1.0988328,1.0825033,0.93596166,1.0814427,1.3508697,2.17885,2.099078,2.498027,1.297284,1.0844754,0.95172435,1.0675963,1.308419,2.2622402,2.2451396,0.65493476,1.023253,1.1425978,1.0198016,1.0572869,1.1554724,1.931341,2.589875,1.4187816,1.1842933,1.0828819,0.8224863,1.0623267,1.1230056,1.5085424,1.5583979,2.2707462,1.1559829,0.4246065,0.74143326,1.0799984,1.1829269,1.2041075,1.0256339,1.458345,1.1030213,1.0561575,0.9474968,1.1001563,0.7574548,0.52686465,0.91196203,0.9167578,1.0287932,0.9869873,0.9748259
6,3.3914142,2.7976649,2.7479107,2.790411,2.3287077,1.8826374,3.1893058,3.265806,3.6532977,3.4135542,3.3440056,2.7703617,2.3318393,1.6182181,3.0031295,3.6639142,3.3926094,2.1772723,2.0036876,1.9866494,2.0198288,1.1224567,3.180854,3.653838,3.4384048,1.9601802,1.2435526,2.047242,1.0981916,1.8720402,2.83636,3.7963421,3.5965948,3.1401048,1.968846,1.7006078,1.1833566,2.5539534,2.6267948,1.5599316,3.6184702,3.2647097,2.106699,1.966798,1.4981794,1.5991831,0.6770281,1.6885905,3.7219794,3.904828,2.7318707,0.82222307,1.6890016,2.2483184,2.2861369,3.0550213,2.9456685,1.5558356,1.2739758,2.557502,2.9787421,3.1653886,2.8793292,3.2408657
7,3.3787253,2.8063369,2.8165152,2.8261924,2.801085,2.8147552,2.7705772,3.1947582,3.6089337,3.4496849,3.3096766,2.170922,2.5192225,3.5034673,3.3630123,3.2758923,3.6523852,3.0962024,0.71217114,0.33907688,0.49255148,1.6771072,3.1568096,3.6908758,3.6605494,2.467494,1.7741048,1.4394631,0.55943877,1.248351,2.6618316,3.9938169,3.6548526,3.0838728,2.289876,2.7646716,1.5614504,2.1224527,2.3650248,1.6215421,3.614383,3.034255,2.6557965,1.9187934,2.7635121,1.6763698,0.47800994,1.7340195,3.690865,3.902712,2.7701356,1.6391485,1.6862109,2.0085385,2.2299302,3.1399627,2.9456685,1.5558356,1.5293701,1.4545325,1.5386028,3.3981764,2.9506013,3.221089
8,2.8196516,2.4136493,2.4750175,2.395803,2.3980405,2.397305,2.400451,2.6856756,3.0011444,2.952583,2.5462542,2.6150007,2.5036173,2.853569,2.9550865,2.7199953,3.0330637,2.5080798,2.6447475,2.8444285,2.3949363,2.4432423,3.0489998,2.7199955,2.9554076,1.9477645,1.9367388,1.985114,1.2638489,1.6827716,3.0817912,2.719995,3.0695138,2.8022118,2.2811751,2.6196737,1.0526682,2.852206,2.893221,2.7199943,2.9990509,2.91294,2.3720002,2.1767662,1.965652,2.6830409,3.0258582,2.9651997,2.6125271,2.0380847,3.002035,2.205145,1.1040443,0.97517675,2.5180652,3.0393083,3.4232216,3.1029336,3.4324832,0.88102967,0.45348573,0.16146414,1.3392664,3.3398025
9,1.4174069,1.4691275,1.493312,1.4871621,1.5669239,1.4693694,1.4533416,1.3446208,1.9000038,1.9561554,1.9067857,2.4267213,2.3609254,1.7328256,2.0310454,1.7813003,1.8712357,1.9291285,2.5621407,2.5839975,2.5477612,1.3406445,2.0111704,1.826064,1.8694578,1.4015278,1.65264,1.7772503,0.41450924,1.5193276,2.0294583,1.5449437,1.8838379,1.9417118,1.0542543,0.91283756,0.50503284,1.9644467,1.7211876,0.93530524,1.8866562,1.9192474,1.5791059,0.8282627,1.046298,1.5175892,1.1361103,1.4457611,1.9957145,2.0125623,1.9282619,1.5493369,2.253387,2.5886729,1.9337554,1.7699145,1.6461738,1.8226092,1.471193,1.6410025,2.9738066,3.0697622,2.1241992,1.6812707
10,1.703771,1.715964,1.8494511,1.6712681,1.8794621,1.7915082,1.7090355,1.8070765,2.2683575,2.3629446,2.0106244,1.6612405,2.0462527,2.3022811,2.3663008,2.095311,2.334587,2.3383603,0.64050686,0.29298362,0.56274223,1.8418255,2.4685721,2.1554832,2.220394,1.2514714,0.8114425,0.5972489,0.4939059,1.8314576,2.4518116,2.287745,2.2469146,2.2701735,2.1853907,2.8172276,1.4430258,1.4436585,2.1876154,1.1716777,2.2552078,2.225197,2.3362625,1.7272902,2.6378043,1.830437,0.69532585,1.3951994,2.2742739,2.5352697,2.3878286,1.6082869,1.5942873,0.27162817,1.745047,2.2197943,2.0078397,1.3822157,1.5215428,1.5458605,0.35045657,0.32523105,1.0883223,2.3515682
11,1.4174069,1.4335625,1.5082299,1.449676,1.4892042,1.4429903,1.4182884,1.3447386,1.9385668,1.9560721,1.8389472,2.2375503,2.3389754,2.0520842,1.9348094,1.9050773,1.916681,1.7174273,1.2084765,2.5824535,3.4869094,2.2629716,1.7860754,1.4682181,1.8839308,1.9060177,2.1499555,2.5601285,3.3421116,2.4129474,1.775286,1.4705424,1.9173598,1.9168053,2.3359914,2.779488,3.2819748,2.7183125,1.6976907,1.6262703,1.9052649,1.9615948,1.9023907,2.3253813,2.9480634,2.6280565,2.158448,1.745682,1.7559822,1.856745,1.3346931,0.88035405,2.8448865,2.439263,2.0959346,1.747206,1.0433412,1.0983437,1.650416,1.5216175,1.985987,1.6944807,1.5694425,1.771935
12,3.380314,2.803966,2.7473922,2.700333,2.827964,2.7108243,2.7692926,3.1943336,3.6893923,3.3781416,2.7562532,2.686426,2.5439138,3.394824,3.460028,3.2739656,3.6162176,2.8381782,2.0884957,2.112548,2.5513973,2.6250572,3.462172,3.4122338,3.5965946,3.0877717,2.2761676,2.0907402,0.69230896,2.6167533,3.5626016,3.5900822,3.5965946,3.2198465,2.266616,2.7532146,1.6812333,3.1906161,2.7839704,1.4795303,3.6156669,3.2472854,2.547606,1.8604771,2.8444345,1.9584256,0.6799676,2.1450825,3.632951,3.7880847,3.3640444,1.7905678,1.6112314,0.42492336,2.5114467,3.615483,2.7667131,1.5937679,1.9071728,0.38365525,0.19295493,0.31487167,1.3446969,3.5503104
13,3.378457,2.773312,2.8052003,2.7258334,2.7461495,2.7370505,2.7707791,3.1943336,3.6057725,3.3226337,3.1992664,2.7889395,2.844998,3.2657459,3.3773763,3.3583431,3.637243,2.7389224,1.8120562,1.8966292,2.0170605,2.703699,3.4280646,3.5489984,3.6149235,2.1157682,2.1135976,1.7531594,1.3491876,2.4012098,3.403845,2.170822,3.6781347,1.8782755,2.1098773,2.62311,1.2239542,1.1432257,1.9986874,0.70846325,3.6037998,3.0965228,2.6987793,1.6997925,1.6354076,0.687381,1.881129,3.0216086,3.6066449,3.5269506,2.9572957,1.7041736,1.619958,2.1696312,3.0454845,3.4690175,3.101379,2.4801676,2.3065856,1.7163684,1.5386028,3.45334,3.006074,3.221089
