token_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.76953024,0.7923459,0.79165816,0.7916832,0.79508966,0.7938023,0.79232323,0.73486584,0.7952157,0.826039,0.81484264,0.825757,0.79615766,0.8081193,0.8188654,0.76171756,0.7952719,0.8178236,0.70503896,0.5538994,0.5540424,0.5550969,0.78030944,0.76889956,0.79528934,0.8322851,0.80952764,0.60759693,0.779332,0.74097496,0.81722593,0.76816666,0.7951649,0.85188174,0.85282266,0.63757485,1.1625878,0.9662274,0.81274164,0.7625263,0.795347,0.8205775,0.84085774,0.47460783,0.7963817,0.84247416,0.82242763,0.76171744,0.793889,0.8338211,0.6747158,0.3335493,0.49888456,0.8171876,0.83098704,0.766904,0.7327148,0.70854175,0.7299207,0.5942644,0.8997149,0.66555786,0.7347901,0.7014022
1,0.76881355,0.7923009,0.79172283,0.79174787,0.8050196,0.7909347,0.7286986,0.45541203,0.7950528,0.826039,0.8148416,0.82515776,0.782101,0.6762043,0.6771215,0.71644557,0.79499847,0.8178798,0.70502216,0.5497083,0.55239254,0.70514613,0.73041826,0.7675662,0.7950158,0.82036626,0.7939577,0.518606,0.6528368,0.7016084,0.8131996,0.76874495,0.7948915,0.82775193,0.829878,0.8656566,1.1464103,0.8785853,0.809399,0.76248014,0.7969774,0.8115993,0.81518096,0.5264167,0.86229837,0.81369025,0.8327466,0.7616713,0.80313313,0.7988416,0.64586544,0.3141607,0.35457867,0.7859865,0.81258714,0.76646435,0.7669689,0.7607736,0.38304737,0.35355794,0.20568761,0.49869627,0.7347249,0.7022849
2,1.8654153,1.7861775,1.7780083,1.6915438,1.3554969,1.1003187,1.8100146,1.6681544,2.0008883,1.7711656,1.5248111,1.0845084,0.80015033,0.74540645,1.8113338,1.720866,1.9983722,1.756758,0.5910591,0.3137059,0.31249946,0.45458013,1.5093517,1.7724246,1.998427,1.7766378,1.1206348,0.54552054,0.6921269,0.9158991,1.9004655,1.7725321,1.9982923,1.7930343,1.8613998,0.551542,1.1504709,0.99076533,1.847072,1.7287248,2.0006943,1.771304,1.731745,0.58067006,1.0372432,1.7398388,1.8715243,1.7446228,2.0040188,1.7056943,0.9034337,0.2970608,0.19517604,1.3631328,1.8540956,1.7196032,1.8727593,0.82953656,0.26544136,0.6506521,0.6035372,0.6133389,1.8040918,1.7683698
3,0.21856698,0.21925578,0.2189692,0.21901727,0.22602399,0.22315696,0.2223691,0.18526834,0.23160759,0.22794789,0.2300739,0.2534118,0.35553223,0.3098672,0.2465558,0.19141304,0.23096576,0.29231396,0.5851376,0.5363788,0.7136381,0.56287336,0.27204758,0.18952811,0.2309483,0.22421598,0.86254,0.63396615,0.65823936,0.8052973,0.2989624,0.19288379,0.23088816,0.22428718,0.23454705,0.5142063,1.1288098,0.8757735,0.32238996,0.18914917,0.23286067,0.24471927,0.24662605,0.54582226,0.76704556,0.51273394,0.25804636,0.18715087,0.2377505,0.21911332,0.2598395,0.55143565,0.28489292,0.3328119,0.23046464,0.18912834,0.16396989,0.16721308,0.30366343,0.6573473,0.5761239,0.35983783,0.21280067,0.17367262
4,1.3492448,1.3196189,1.272533,0.7499565,1.2739055,1.3605843,1.3240304,1.2148049,1.4506038,1.3373295,1.2984501,0.5665708,1.1530756,1.2049478,1.3847384,1.271668,1.4474908,1.3261845,0.7229797,0.4959389,0.60479456,0.6289091,1.2111083,1.2802415,1.4474679,1.3544719,0.97822535,0.6859806,0.68803304,1.0564053,1.395895,1.2784914,1.4474372,1.3559296,1.3371028,0.5792085,0.9241272,0.8580684,1.3554022,1.2690408,1.4526842,1.3227092,1.346921,0.5798397,0.92595714,1.4589912,1.3574327,1.2674279,1.4373617,1.331659,0.721925,0.54486024,0.4335298,1.2680626,1.3953544,1.2674282,1.3667729,1.0066032,0.72093356,0.5208949,0.7841973,0.7595806,1.350291,1.2823135
5,0.39962697,0.41915828,0.4183321,0.42005187,0.38230377,0.3999492,0.4290619,0.39082092,0.40643144,0.42959476,0.42536873,0.29552093,0.13523974,0.2517055,0.43817252,0.40052044,0.4063397,0.43583637,0.5252818,0.21835336,0.4840266,0.47415227,0.42039794,0.4039864,0.40626508,0.43267816,0.8620487,0.5372816,0.5930086,0.7103573,0.45791042,0.4078949,0.40622026,0.4287761,0.41874635,0.5218384,1.0612049,0.6743047,0.4375102,0.3998872,0.40708762,0.4242016,0.46076787,0.4763981,0.9949458,0.71722835,0.4297307,0.3993168,0.411223,0.44363278,0.5516321,0.55646545,0.56755733,0.51118594,0.44525182,0.3993168,0.32131314,0.41431302,0.4842453,0.45524365,0.4876569,0.43060744,0.37135053,0.3218436
6,1.1003836,1.0780675,1.0524459,0.94742763,0.6335669,0.61359817,1.131251,1.002868,1.1460482,1.0933183,1.0517412,0.3786207,0.04189483,0.56140673,1.2023295,1.0326983,1.1455804,1.1335529,0.8010602,0.4913804,0.0034243464,0.4993732,1.0904559,1.0498016,1.1455951,1.1223203,1.1058608,1.1372542,0.6580503,0.90131897,1.1466542,1.0456874,1.1455562,1.0893677,1.1257192,1.0134995,1.0998023,1.0064291,1.1037825,1.0289979,1.1515228,1.0828955,1.1342309,1.1332718,0.97033423,1.1034266,1.1259308,1.0284182,1.160293,1.0709268,0.86614704,1.0978335,0.7646702,1.041238,1.1089349,1.0334182,1.164307,0.90755564,0.67428637,0.65921086,0.47035545,0.7247759,1.0907542,1.0579207
7,1.2003077,1.1847692,1.154648,1.1083882,1.0068907,1.2303804,1.215925,1.0945959,1.2477295,1.1802707,1.1661661,0.26282164,0.113206275,1.2954024,1.2376976,1.1289775,1.2472408,1.2029983,0.68915826,0.14245807,0.093503766,0.39741027,1.1253053,1.1377927,1.247216,1.2167826,1.0328058,0.7093193,0.6697434,0.76686573,1.2242761,1.1344564,1.2471917,1.1825782,1.1680877,0.5584839,1.1399012,0.97141665,1.2134215,1.1260843,1.2540619,1.1906812,1.2164357,0.5776983,0.9143168,1.2252706,1.2330679,1.1244467,1.2613481,1.1518817,0.57697964,0.35636097,0.41598088,1.0930192,1.2343214,1.1258363,1.194466,0.5326485,0.005409077,0.0,0.019985214,0.4263382,1.2150364,1.1510113
8,1.8674837,1.792009,1.7653518,1.7616223,1.7616223,1.7873785,1.7793645,1.6660362,2.000655,1.766085,1.4827318,0.9586124,1.0876949,1.4824325,1.7944942,1.7206448,1.9983605,1.7632161,0.62504697,0.48621523,0.19991378,0.40985745,1.5014207,1.759293,1.9984119,1.762189,1.1868426,0.35454345,0.60720176,0.93451345,1.890474,1.7681396,1.9982908,1.8020688,1.7777503,0.56745005,1.1534563,1.0383536,1.8568385,1.7227981,2.003684,1.7797223,1.7625649,0.5569688,1.0247194,1.7803227,1.8278321,1.7119497,2.0258949,1.6674869,0.90011656,0.44204062,0.4400025,1.329974,1.8932008,1.7131854,1.8950306,0.81405133,0.3592596,0.7137279,0.6446491,0.7315406,1.8087884,1.766785
9,0.21795031,0.21921107,0.23311381,0.24248797,0.3769561,0.13043188,0.23033702,0.1843068,0.23110345,0.2374092,0.30901217,1.1386749,1.226543,0.8815572,0.22726434,0.18902898,0.23096582,0.23186001,0.45936608,0.89001286,0.84925747,0.54897803,0.32749164,0.19012275,0.2309483,0.21595365,0.8984823,0.48769462,0.6893831,0.6397559,0.2974522,0.18798661,0.23088816,0.22782172,0.23057202,0.624547,1.110414,0.82528263,0.22529882,0.18840635,0.23704635,0.26455835,0.28434423,0.4086148,0.709169,0.3908161,0.22573617,0.1877985,0.21484941,0.19028234,1.201673,0.89144665,0.38547793,0.2947985,0.22439438,0.18793155,0.16383994,0.0,0.8088886,0.4976799,0.60048866,0.22961092,0.25419116,0.17142035
