token_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.9806413,1.2149645,1.2029114,1.1358123,1.0738858,1.136093,1.1639595,1.1348197,0.95752186,1.2740315,1.1111593,1.2508515,1.2621984,1.3921285,1.2019838,1.1387371,1.0294967,1.1906341,0.99574775,1.0877609,0.9713758,1.2702758,1.2717432,1.1381142,1.0376706,1.2099212,1.4713765,1.5777612,1.6185386,1.5290273,1.237105,1.067822,0.993516,1.1727216,1.2465334,1.4435828,1.4203732,1.4175131,1.261625,1.0689139,0.9616765,1.2700576,1.2433593,1.3759398,1.3202959,1.3219202,1.0086732,1.111962,0.9735496,1.2667009,1.0552003,1.2428874,1.2608446,1.0155299,0.69213116,1.0075397,0.96306026,1.2134475,0.7264421,1.7121317,1.7831783,0.3443274,0.0,0.4860244
1,0.98063546,1.1686332,1.1888787,1.1461816,1.1131886,1.1569812,1.1599641,1.1341267,0.9560789,1.291354,1.1905512,1.2258934,0.98577785,1.2639898,1.1728536,1.1302528,0.9876058,1.1900173,1.0733244,1.0313896,1.303179,1.6385448,1.2770545,1.1328012,1.0192244,1.2277582,1.3269455,1.3057351,1.5330905,1.5332472,1.2981098,1.1066945,0.99355435,1.208874,1.3804778,1.4039806,1.4229143,1.5097545,1.207787,1.115169,0.9654854,1.2599043,1.3469844,1.6274688,1.606889,1.3947412,1.1769309,1.1263542,1.039026,1.2934549,0.67776966,0.6631757,0.5775019,0.6332848,0.7821438,0.9747823,1.0237327,0.9057711,0.5642509,0.4258134,0.72997576,0.58835053,0.40410435,0.48838988
2,1.7642233,1.9277221,1.8867692,1.9116943,1.9245992,1.7246113,1.8675393,1.8670143,1.658383,1.9198898,1.2708945,1.2770164,1.3141713,1.0356128,1.6243719,1.8785319,1.7286546,1.7984878,1.2337866,1.3110781,1.3124096,1.3477964,1.444354,1.8190054,1.7612776,1.8659536,1.4389324,1.5999603,1.5314913,1.507072,1.0705998,1.674744,1.7721816,1.579786,1.2301887,1.4903488,1.329837,1.4908516,1.1614914,1.7389743,1.7426169,1.9911896,1.1890186,1.226535,1.1341616,1.2687572,1.4588082,1.8355613,1.6738445,1.9867047,1.1921026,1.2831688,1.3000216,1.1778742,1.4677305,1.622451,1.5935636,1.6075892,1.3382946,1.1614041,1.4515318,1.2390982,1.5309892,1.0954759
3,1.3972241,1.5754156,1.5734749,1.4585668,1.4167407,1.5399829,1.5669168,1.5314873,1.3686463,1.6364269,1.4567336,1.2834423,1.1120676,1.3643317,1.5956849,1.5391933,1.3845135,1.6298991,1.5444374,1.4312763,1.410088,1.6435657,1.5266582,1.5363159,1.3896207,1.6204371,1.4469099,1.4799287,1.4738069,1.473998,1.4407008,1.5280604,1.4233974,1.440176,1.215266,1.4004906,0.8749647,1.0810679,1.2530667,1.522332,1.4004697,1.6257846,0.89281356,0.75465345,0.79353106,0.9606124,1.1763871,1.4714056,1.3873715,1.6634672,1.2080919,0.93002313,1.0306691,1.3970407,1.4511424,1.2265601,1.3193184,1.3212469,1.1589652,1.5954915,1.334231,1.202565,1.2873257,1.0144119
4,1.8046769,1.978294,1.9786339,1.8122433,1.6701543,1.900029,1.9284501,1.9327033,1.683236,2.0062993,1.6182848,1.5251799,1.6058114,1.4240557,1.8428515,1.9288479,1.8074696,1.8286048,1.3012255,1.386958,1.4311861,1.6796575,1.6463655,1.9267383,1.7817779,1.9313055,1.4854532,1.5886836,1.5590019,1.6093639,1.5174458,1.8908923,1.8118744,1.6467927,1.3877605,1.5346574,1.4662472,1.6097412,1.421058,1.8983449,1.7320243,2.0244436,1.3992897,1.5936757,1.6165087,1.4339439,1.6139457,1.933432,1.712542,1.977055,1.0186675,1.3650473,1.2598361,1.1331112,1.252868,1.5965005,1.716684,1.6119128,1.0428443,1.6227821,1.2573239,1.0281655,1.3088716,0.85620517
5,1.8046769,1.9423734,1.9579548,1.9410697,1.976604,1.9601169,1.9294412,1.9327033,1.7248336,2.0287886,1.5696454,1.8209188,1.9195747,1.5809071,1.836175,1.9303836,1.4694643,1.5809351,1.650302,1.481682,1.509829,1.6462191,1.4421684,1.6985282,1.4838575,1.2536796,1.4005079,1.5986596,1.5037695,1.4344455,1.0742218,1.6257944,1.8349267,1.67806,1.0570325,1.3291153,1.1656483,1.4436214,1.3901966,1.8985915,1.7329623,2.0000854,1.4074894,1.6302872,1.560645,1.407664,1.5713779,1.9192125,1.7075245,2.0372972,1.5721803,1.3852867,1.4069266,1.6224796,1.8976674,1.6016005,1.6339314,1.680872,1.8003926,2.0829854,2.1081178,1.6607093,2.0597363,1.1480784
6,1.3972241,1.5829707,1.5878068,1.5571675,1.5725298,1.5510294,1.5442065,1.5314873,1.3755579,1.6223323,1.3624007,1.5503755,1.6296489,1.2321407,1.5545933,1.5345471,1.3850124,1.6287024,0.8134655,1.1239479,1.1766415,0.84727776,1.3759913,1.4959874,1.3951616,1.5921607,1.3488572,1.3387938,1.3864875,1.2750434,0.7931257,0.837831,1.4376799,1.4591315,1.3862714,1.3967823,1.4942154,1.2814888,1.1760616,1.5097694,1.3972281,1.6167432,1.4330069,1.6477002,1.6131667,1.4197255,1.4429574,1.5342873,1.3853452,1.6611148,1.5159503,1.2533727,1.4129014,1.6173569,1.7810596,1.4127979,1.30812,1.5081187,1.8074203,1.2213168,1.5151157,1.5054721,1.92783,1.2640904
7,1.3972241,1.5659078,1.5591333,1.5560384,1.5875928,1.5728095,1.5464469,1.5314873,1.3695681,1.620127,1.4510897,1.5771344,1.6210974,1.4179239,1.5323098,1.5327377,1.3790773,1.6300375,1.287877,1.3561207,1.3638444,1.247642,1.4401047,1.5368645,1.3883173,1.6432801,1.5427165,1.5213146,1.4951823,1.1352516,1.207562,1.5105691,1.4290111,1.4663646,1.0812715,1.4215562,1.5619783,1.4308052,1.4261984,1.5132518,1.4008361,1.6307385,1.4160403,1.6023694,1.434409,1.2762893,1.5123044,1.5209779,1.3915116,1.6771741,0.75232,0.7091,0.45372054,0.40152666,0.94845426,1.3645794,1.3327192,1.4450619,0.5708003,0.9670366,0.76424265,0.50320524,0.4282186,0.6459451
8,1.7546476,1.9115616,1.9165173,1.8371426,1.9542824,1.8915102,1.8712282,1.866467,1.6362524,1.9884485,1.3118148,1.287375,1.326469,1.088983,1.7737359,1.8795694,1.6930648,1.8951415,1.3249288,1.3681613,1.3400482,0.9194616,1.5714949,1.8496509,1.7049732,1.4649279,1.4652514,1.6071328,1.4216467,1.5329981,1.2268758,1.643096,1.7761698,1.6727042,1.0969714,1.5275946,1.3153187,1.4818151,1.3672819,1.8721516,1.7176212,1.9555755,1.3908608,1.6306491,1.5891052,1.405132,1.5243613,1.8673974,1.5457339,1.1796714,1.085464,1.0917164,1.3782898,1.6061902,1.3809006,1.0007236,1.4978032,1.3170391,1.1363387,0.97573316,1.3475724,1.5619754,1.8623191,1.3183277
9,0.98063546,1.177215,1.170474,1.1597309,1.1852661,1.1724226,1.1567409,1.1341267,0.9430991,1.2562815,1.126254,1.1890928,1.2644926,1.0920048,1.1584133,1.1319472,0.96415204,1.3180813,1.2460158,1.4217072,1.1090671,1.0614319,1.1191816,1.1330742,0.97945094,1.2870735,1.281693,1.4618893,1.4879037,1.2714176,1.0941477,1.1600661,0.98401684,1.1810409,1.042727,1.4215562,1.555772,1.538821,1.2264514,1.1396917,0.9567211,1.2115301,1.4067762,1.6164906,1.4251863,1.1984918,1.1668096,1.123611,0.9757148,1.2629529,0.8392414,0.9268525,0.87381184,0.852157,0.8047456,1.0362731,0.95599204,1.0968817,0.73823327,0.73259294,0.79232925,0.7692035,0.63216007,0.7185323
10,0.06973992,0.40843543,0.76585096,0.45583802,0.5176507,0.09856638,0.028595462,0.08030988,0.14951088,0.92589194,1.77601,1.8796173,1.7748847,1.8620287,1.3140455,0.1662703,0.14779386,0.6895631,1.3858898,1.5353727,1.4902365,1.4924059,1.5741422,0.29737175,0.15076394,0.52519673,1.4132348,1.3279376,1.4876714,1.6620334,1.3657515,0.036092803,0.1929864,0.81605816,1.3444518,1.4573958,1.4354558,1.6060876,1.2456537,0.0,0.1257111,0.19842751,1.2829192,1.5927378,1.6146535,1.5143589,0.67256206,0.0,0.12114169,0.43729857,0.77542645,0.9627072,1.0488938,0.856762,0.7205181,0.53467584,0.14881565,0.5729415,0.72779226,0.7326089,0.79232925,0.7733288,0.6307305,0.6577353
11,1.8046769,1.9423734,1.9579548,1.9410697,1.976604,1.9601169,1.9294412,1.9327033,1.678692,2.0212245,1.5676205,1.8209188,1.9195881,1.5835516,1.8373231,1.927016,1.7066342,1.9976335,1.5744292,1.4990615,1.5139472,1.4554383,1.5043594,1.9215846,1.7076441,1.9553156,1.5811577,1.6213515,1.5926011,1.322688,1.2988486,1.8284346,1.8118744,1.6326292,1.4327247,1.5868586,1.4807732,1.6330223,1.4232601,1.8985134,1.7317795,2.0194278,1.3941941,1.6652312,1.5829676,1.4846823,1.625482,1.9235578,1.7418357,2.0145955,1.489595,1.2739972,1.4311607,1.6056321,1.781092,1.6064134,1.624972,1.7038778,1.724737,1.1830118,1.5560127,1.5229276,1.9522151,1.2339071
12,1.3972241,1.5552963,1.5590822,1.5560925,1.585792,1.5690328,1.5464469,1.5314873,1.4135715,1.6382573,1.469399,1.5853208,1.6148272,1.5008138,1.5712401,1.5354474,1.2815318,1.4504116,1.5394537,1.4632777,1.472029,1.577166,1.4937458,1.5083902,1.2086967,1.190872,1.5596962,1.6605238,1.674681,1.649726,1.2136065,1.4448012,1.4152919,1.4637179,1.256046,1.4378392,1.3203503,1.5460719,1.3992201,1.5158845,1.3908075,1.6475552,1.4329152,1.5851191,1.7197845,1.460761,1.5360346,1.5277038,1.3867997,1.663642,1.2673173,1.5493745,1.6074631,1.1930859,1.4747387,1.4236854,1.3454672,1.4127214,1.2697604,1.185445,1.2068908,1.1607503,1.5002258,1.1409539
