token_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,1.040902,0.9121009,0.90628237,0.92756736,0.9485926,0.8967108,0.90332085,4.2590737,1.0777694,0.93668085,0.88880557,0.9297267,0.9834086,1.0089034,0.92618436,4.2935395,1.0048058,0.90249246,0.88234013,0.8485697,0.87401265,1.0571239,0.956865,4.304615,0.8740255,0.8507326,0.72112805,0.55781466,0.5080922,1.0415276,1.0260131,4.3042345,0.9164398,0.5157476,0.41207635,0.4572323,0.5891901,1.0588162,0.9472395,4.296495,0.9125108,0.8811431,0.46365538,0.28825134,0.5308218,1.0731633,0.96327144,4.307763,1.0425633,0.89922625,0.7773636,0.2583357,0.26879376,0.8551321,1.0343728,4.3056455,1.0982748,0.9681635,0.9812238,0.7926116,0.6488946,0.64904135,0.88090414,2.5669272
1,0.7979396,0.7648737,0.80413264,0.7273667,0.7552441,0.75681156,0.7557153,4.7242503,0.730418,0.7082233,0.714955,0.7432319,0.7661794,0.73489773,0.6949399,4.2577386,0.6691681,0.70720243,0.7299945,0.76049036,0.8299292,0.7297235,0.71091926,4.2584796,0.68389696,0.8000262,0.7318726,0.6155843,0.6195686,0.75958806,0.70780265,4.2591357,0.70321065,0.8914093,0.9664723,0.6341234,0.93628985,0.7992244,0.71678245,4.2598863,0.733927,0.74087363,0.7503206,0.53318554,1.2888082,0.8507642,0.73470527,4.257686,0.73999697,0.7805704,0.7781349,0.6966842,0.5625443,0.74540985,0.7040402,4.256507,0.6777828,0.97016084,0.6512206,0.4844382,0.57032573,0.7820607,0.7635008,2.6224897
2,0.0,0.11597673,0.2891064,0.27945107,0.13977143,0.11970274,0.11597673,0.5286483,0.13435756,0.100694105,0.34580967,0.43751487,0.2664347,0.0725819,0.054458756,0.38084307,0.31133822,0.36726335,0.31931192,0.38382384,0.4578196,0.3695207,0.07183592,0.3861584,0.15221381,0.51392543,0.5356097,0.69453377,0.64403045,0.66328996,0.1686439,0.3860572,0.16457617,0.89907044,0.93951833,0.8246753,0.80725527,0.52386904,0.17302284,0.38084307,0.121970765,0.7135101,0.9670235,0.91740054,0.88536114,0.3139401,0.08720173,0.38084307,0.47221094,1.0780431,1.0233357,0.8816698,1.0869604,0.65305185,0.13685387,0.3996687,0.50805,1.3474926,0.83909833,0.53909063,1.0976466,0.90805745,0.61434424,0.99105984
3,1.1826319,1.0097626,1.1841632,1.3381035,1.0840087,1.0103427,1.0087973,4.457607,1.178811,1.0059816,0.90898603,0.91571486,1.0686116,1.0151618,1.0047833,4.741499,1.1341887,0.94048125,0.76413614,0.73409456,0.9592318,0.9829564,0.9586524,4.585155,1.0946147,0.8644361,0.6579253,0.69141597,0.6446941,0.91678035,0.9726649,4.4131417,0.9972121,0.6656724,0.73565257,0.67847043,0.69283855,0.855201,0.8748408,4.2382364,0.94242907,0.7206396,0.7110543,0.7002627,0.7258242,0.86400294,0.83075017,4.0820827,0.7793441,0.755141,0.6774982,0.6178559,0.6774239,0.6843744,0.78131664,3.9749417,0.52113706,0.71605736,0.6446499,0.6321113,0.6902295,0.6842446,0.81621796,2.301307
4,0.9859185,0.8870797,0.89446676,0.8701198,0.8984644,0.86661357,0.86934423,3.9303727,0.95390344,0.87151206,0.8546458,0.8531937,0.8647881,0.8782627,0.8417505,4.141116,0.87387705,0.8974552,0.87356144,0.84801126,0.8352255,0.8446689,0.7976248,3.923506,0.86250156,0.8908489,0.84430087,0.8671561,0.8439928,0.8002194,0.7768939,3.7559152,0.74758285,0.9403245,0.9282412,0.77641374,0.7142765,0.7426367,0.713678,3.6777987,0.7577892,0.86232585,0.86787987,0.9264746,0.78815967,0.7540109,0.6923352,3.661468,0.78939545,0.88552856,0.7724427,0.7066344,0.71088946,0.73630685,0.668603,3.6365867,0.99876624,0.96438885,0.9836523,0.8615635,0.8564105,0.7081942,0.70817363,2.3312569
5,1.0353689,0.91806346,0.93368363,0.9377082,0.9816138,0.90598387,0.89657634,4.2590737,1.0590223,0.95931065,0.9699913,0.9983684,1.1058599,0.93765026,0.9234236,4.2935395,1.1042434,0.97761136,1.0082358,1.0133208,0.8706592,0.9968535,0.9729837,4.303526,1.1193929,0.9121211,0.8380139,0.98047787,1.0997106,0.868479,1.0228205,4.317945,1.0672854,0.9670446,1.1152446,0.9658861,0.98179847,1.023471,0.9496596,4.3024254,1.0031948,0.57549447,1.2515455,1.311735,0.9429537,1.1064845,0.96288985,4.3032556,0.96549875,0.7789348,0.43028203,0.50810117,0.27961737,0.806399,0.97890854,4.324933,1.2003096,1.1598967,0.78533125,0.6539327,0.7322809,0.95954967,1.1413512,2.5404222
6,1.1826319,1.0456922,1.0163819,0.7964538,0.99039584,1.069404,1.0152012,4.457607,1.178811,1.0249946,1.0053,1.1389067,1.070398,1.0802981,1.0127676,4.741499,1.1341887,0.9503237,0.88927037,1.001054,0.86266017,0.9839459,0.96622235,4.585155,1.0946147,0.84716725,0.8210894,0.8518667,0.7575981,0.91238916,0.97114396,4.4131417,0.9923807,0.5458878,0.9617052,0.7964994,0.74611884,0.8197102,0.8763509,4.2382364,0.9394874,0.7492835,1.0918914,0.95437914,0.8454677,0.84870565,0.8491462,4.0810165,0.85744035,1.1328864,1.019478,0.88140506,1.0896057,0.7845233,0.81312233,3.9845548,0.6335888,1.3407617,0.8307243,0.54362327,1.0997397,0.94026506,1.0270758,2.3841758
7,0.9312589,0.89230007,0.9146002,0.91476274,0.8785606,0.82797855,0.8246947,3.990354,0.90715605,0.8665427,0.9002384,0.8609613,0.9302545,0.8102946,0.7973914,4.180448,0.90108055,0.9038462,0.90271425,0.89066625,0.83830774,0.8646458,0.8151714,4.189629,0.92225,0.8539847,0.8485673,0.8125807,0.7129,0.79578876,0.83582413,4.1895537,0.94388235,0.9368107,1.1155039,0.80625224,0.7314167,0.9019817,0.8090835,4.1839747,0.8651916,0.5504682,1.0706033,1.0225642,0.7464316,0.95754457,0.81504107,4.183222,0.81834155,0.6566969,0.39849967,0.5542019,0.2720811,0.71345377,0.8357869,4.2696824,1.023973,0.96530515,1.0935048,1.2553084,1.256485,1.0251911,1.0770155,2.4985912
8,0.7537916,0.800349,0.9026618,1.1150157,1.1351804,1.0384539,0.81699663,4.0593767,0.6822038,0.7408184,1.0487727,1.08069,1.1310701,1.1050204,0.8290856,2.9654303,0.6857702,0.8396907,0.76673466,0.8115676,0.73903936,0.9645425,0.74809724,3.588741,0.6900961,0.78502876,0.48920625,0.48554084,0.35559484,0.7138626,0.6814144,3.9556158,0.7173096,0.47511452,0.28669128,0.34884027,0.54697144,0.72355384,0.73461115,3.7866974,0.67672336,0.68008846,0.43862402,0.15030618,0.4567579,0.73127055,0.7365208,3.4171903,0.6603378,0.85147446,0.97419465,0.9456886,0.95865405,0.78157556,0.6718488,2.9813182,0.8587881,0.8362999,0.74289966,0.66796595,0.7337883,0.74059343,0.79704034,1.4098566
9,1.1009595,0.9243642,1.0040565,0.9740102,0.96987003,0.94059885,0.9228867,4.7432795,1.1257006,0.9958928,1.0421573,0.9455779,1.0604236,0.9870647,0.91856945,4.922525,1.0648197,1.0063522,0.9131143,1.0095606,0.9168366,0.9819784,0.9314507,4.923787,1.0648608,0.9552542,0.890973,1.0631672,1.0215623,0.9571421,0.9447075,4.9276466,1.0648459,0.8243925,0.93287766,1.0630257,1.0058893,1.0783921,0.94454896,4.9272227,1.0648197,0.8729036,0.9553023,1.0009439,0.8126901,1.0057182,0.92138547,4.924884,1.0697052,0.88385266,0.7870877,0.7330334,0.7878032,0.9921672,0.91685534,4.930552,1.026968,0.87605196,0.8013361,0.790491,0.78552794,1.0189409,0.97254735,2.9612231
