,azuki_0,azuki_3,azuki_5,bayc_0,bayc_3,bayc_5,coolcats_0,coolcats_3,coolcats_5,doodles_0,doodles_3,doodles_5,meebits_0,meebits_3,meebits_5
recall@1,0.0078,0.0084,0.0097,0.0106,0.0021,0.0,0.0089,0.0085,0.0141,0.0088,0.0097,0.0053,0.0131,0.0187,0.042
recall@2,0.016,0.0181,0.0203,0.0247,0.0082,0.0,0.0166,0.0212,0.0212,0.0185,0.0191,0.0149,0.0215,0.0271,0.0583
recall@5,0.0437,0.0453,0.0565,0.0618,0.025,0.0392,0.048,0.0593,0.0495,0.0478,0.0471,0.0447,0.0489,0.0636,0.0816
recall@10,0.0843,0.1009,0.1015,0.1164,0.0971,0.0784,0.099,0.1238,0.1237,0.092,0.0937,0.1078,0.0976,0.1134,0.1212
recall@20,0.1817,0.204,0.1889,0.2212,0.1958,0.1814,0.1992,0.2323,0.2191,0.1878,0.206,0.2103,0.1921,0.212,0.2366
recall@50,0.4975,0.5186,0.5327,0.5509,0.5291,0.6422,0.5156,0.5481,0.5972,0.4973,0.5185,0.5311,0.5078,0.5176,0.5746
mrr@1,0.0078,0.0084,0.0097,0.0106,0.0021,0.0,0.0089,0.0085,0.0141,0.0088,0.0097,0.0053,0.0131,0.0187,0.042
mrr@2,0.0119,0.0132,0.015,0.0176,0.0051,0.0,0.0127,0.0148,0.0177,0.0137,0.0144,0.0101,0.0173,0.0229,0.0501
mrr@5,0.0194,0.0204,0.0238,0.0274,0.0099,0.0096,0.0213,0.0243,0.0251,0.0214,0.022,0.0178,0.0247,0.0329,0.0558
mrr@10,0.0246,0.0276,0.0294,0.0343,0.0186,0.0149,0.0276,0.0324,0.0348,0.0272,0.0282,0.026,0.0312,0.0392,0.0609
mrr@20,0.031,0.0345,0.0352,0.0411,0.0251,0.022,0.0342,0.0398,0.0413,0.0336,0.0355,0.0329,0.0374,0.0458,0.0686
mrr@50,0.0405,0.0438,0.0456,0.0509,0.0349,0.035,0.0437,0.0494,0.0528,0.0429,0.045,0.0425,0.0471,0.0551,0.0788
ndcg@1,0.0078,0.0084,0.0097,0.0106,0.0021,0.0,0.0089,0.0085,0.0141,0.0088,0.0097,0.0053,0.0131,0.0187,0.042
ndcg@2,0.013,0.0145,0.0164,0.0195,0.006,0.0,0.0138,0.0165,0.0186,0.0149,0.0156,0.0113,0.0184,0.024,0.0523
ndcg@5,0.0253,0.0265,0.0317,0.0358,0.0134,0.0167,0.0279,0.0328,0.031,0.0279,0.0281,0.0244,0.0306,0.0404,0.0621
ndcg@10,0.0383,0.0443,0.0459,0.0529,0.0358,0.0294,0.0439,0.0532,0.0548,0.042,0.0432,0.0446,0.0463,0.0562,0.0748
ndcg@20,0.0624,0.07,0.0677,0.079,0.0602,0.0552,0.0687,0.0804,0.0788,0.0659,0.071,0.0702,0.0698,0.0808,0.1035
ndcg@50,0.1241,0.1312,0.1348,0.1431,0.1251,0.1437,0.1304,0.1422,0.1528,0.1264,0.1322,0.1327,0.1317,0.1406,0.1696
hit@1,0.0078,0.0084,0.0097,0.0106,0.0021,0.0,0.0089,0.0085,0.0141,0.0088,0.0097,0.0053,0.0131,0.0187,0.042
hit@2,0.016,0.0181,0.0203,0.0247,0.0082,0.0,0.0166,0.0212,0.0212,0.0185,0.0191,0.0149,0.0215,0.0271,0.0583
hit@5,0.0438,0.0453,0.0565,0.0626,0.0267,0.0392,0.048,0.0593,0.0495,0.0478,0.0471,0.0447,0.0493,0.0636,0.0816
hit@10,0.0846,0.1011,0.1015,0.1172,0.0988,0.0784,0.099,0.1238,0.1237,0.0923,0.0937,0.1078,0.098,0.114,0.1212
hit@20,0.1823,0.2043,0.1889,0.222,0.1975,0.1863,0.1992,0.2328,0.2191,0.1891,0.2061,0.2103,0.1939,0.2131,0.2378
hit@50,0.4995,0.5199,0.5331,0.5524,0.5309,0.6471,0.5169,0.5492,0.5972,0.4994,0.5196,0.5311,0.5126,0.5206,0.5758
map@1,0.0078,0.0084,0.0097,0.0106,0.0021,0.0,0.0089,0.0085,0.0141,0.0088,0.0097,0.0053,0.0131,0.0187,0.042
map@2,0.0119,0.0132,0.015,0.0176,0.0051,0.0,0.0127,0.0148,0.0177,0.0137,0.0144,0.0101,0.0173,0.0229,0.0501
map@5,0.0193,0.0204,0.0238,0.0273,0.0095,0.0096,0.0213,0.0243,0.0251,0.0214,0.022,0.0178,0.0246,0.0329,0.0558
