,azuki_0,azuki_3,azuki_5,bayc_0,bayc_3,bayc_5,coolcats_0,coolcats_3,coolcats_5,doodles_0,doodles_3,doodles_5,meebits_0,meebits_3,meebits_5
recall@1,0.0105,0.0126,0.0106,0.0097,0.0062,0.0,0.0142,0.0106,0.0177,0.0108,0.0117,0.0088,0.0094,0.0131,0.007
recall@2,0.021,0.0221,0.0212,0.0176,0.0185,0.0,0.0243,0.0265,0.0283,0.0224,0.0226,0.0175,0.021,0.0215,0.014
recall@5,0.0516,0.0511,0.0485,0.0459,0.0473,0.0098,0.0575,0.0614,0.0671,0.0536,0.0573,0.0465,0.0559,0.0502,0.0517
recall@10,0.1034,0.0975,0.0989,0.097,0.1111,0.0196,0.1108,0.1196,0.1343,0.0962,0.1046,0.0929,0.1063,0.1047,0.096
recall@20,0.2002,0.2005,0.2189,0.2019,0.1934,0.1078,0.2217,0.2286,0.2403,0.1933,0.2001,0.2147,0.1991,0.1936,0.2289
recall@50,0.4934,0.5069,0.5322,0.5239,0.5514,0.652,0.5575,0.5333,0.6254,0.4987,0.5087,0.5285,0.489,0.521,0.5564
mrr@1,0.0105,0.0126,0.0106,0.0097,0.0062,0.0,0.0142,0.0106,0.0177,0.0108,0.0117,0.0088,0.0094,0.0131,0.007
mrr@2,0.0158,0.0174,0.0159,0.0137,0.0123,0.0,0.0193,0.0185,0.023,0.0166,0.0171,0.0131,0.0152,0.0173,0.0105
mrr@5,0.0236,0.0252,0.0228,0.0216,0.0198,0.002,0.0282,0.0273,0.0329,0.0245,0.0267,0.0207,0.0241,0.0255,0.0219
mrr@10,0.0303,0.0312,0.0292,0.0282,0.0277,0.0034,0.0354,0.0346,0.0411,0.0301,0.0328,0.0269,0.0305,0.0326,0.0279
mrr@20,0.0367,0.0381,0.037,0.0351,0.0331,0.0087,0.043,0.0419,0.0484,0.0366,0.0392,0.0353,0.037,0.0388,0.0371
mrr@50,0.0456,0.0474,0.0464,0.045,0.0438,0.0252,0.0532,0.0512,0.0602,0.0457,0.0484,0.0447,0.0456,0.0486,0.0471
