,azuki_0,azuki_3,azuki_5,bayc_0,bayc_3,bayc_5,coolcats_0,coolcats_3,coolcats_5,doodles_0,doodles_3,doodles_5,meebits_0,meebits_3,meebits_5
recall@1,0.014,0.0119,0.0159,0.0088,0.0165,0.0147,0.0166,0.0116,0.0106,0.0121,0.015,0.0131,0.0258,0.028,0.0583
recall@2,0.0223,0.0251,0.0238,0.0211,0.0309,0.0147,0.0314,0.0212,0.0283,0.0223,0.0263,0.0202,0.0397,0.0411,0.0653
recall@5,0.0518,0.0553,0.0556,0.0512,0.0662,0.0441,0.0702,0.0529,0.0848,0.0525,0.0543,0.057,0.0722,0.0715,0.1002
recall@10,0.1011,0.1027,0.1156,0.0909,0.1217,0.0637,0.1145,0.1016,0.1661,0.101,0.0978,0.1078,0.1224,0.1192,0.1585
recall@20,0.2059,0.1975,0.2162,0.1993,0.2452,0.299,0.2251,0.2243,0.2862,0.2,0.1969,0.2025,0.2188,0.2299,0.2587
recall@50,0.4932,0.5101,0.5349,0.5253,0.548,0.6912,0.5531,0.5471,0.6219,0.5021,0.5079,0.532,0.5094,0.5332,0.6037
mrr@1,0.014,0.0119,0.0159,0.0088,0.0165,0.0196,0.0166,0.0116,0.0106,0.0124,0.0152,0.0131,0.0262,0.028,0.0583
mrr@2,0.0183,0.0185,0.0199,0.015,0.0237,0.0196,0.024,0.0164,0.0194,0.0176,0.0208,0.0167,0.0333,0.0346,0.0618
mrr@5,0.0261,0.0263,0.0278,0.0233,0.0335,0.0273,0.0342,0.0249,0.0353,0.0255,0.0281,0.0257,0.0418,0.0431,0.0709
mrr@10,0.0326,0.0325,0.0355,0.0286,0.0408,0.0301,0.04,0.0314,0.0453,0.0319,0.0339,0.0323,0.0485,0.0493,0.0784
mrr@20,0.0395,0.0388,0.0422,0.0358,0.0489,0.0455,0.0476,0.0397,0.0536,0.0386,0.0406,0.0386,0.0551,0.057,0.0852
mrr@50,0.0482,0.0482,0.0519,0.0455,0.0582,0.0573,0.0574,0.0491,0.064,0.0475,0.0499,0.0487,0.0637,0.0661,0.0957
ndcg@1,0.014,0.0119,0.0159,0.0088,0.0165,0.0196,0.0166,0.0116,0.0106,0.0124,0.0152,0.0131,0.0262,0.028,0.0583
ndcg@2,0.0193,0.0202,0.0209,0.0166,0.0255,0.0158,0.0259,0.0176,0.0217,0.0187,0.0221,0.0176,0.0348,0.0363,0.0627
ndcg@5,0.0322,0.0333,0.0346,0.0302,0.0414,0.0287,0.043,0.0318,0.0475,0.0319,0.0344,0.0332,0.0489,0.0501,0.078
ndcg@10,0.0481,0.0486,0.0537,0.043,0.0592,0.0353,0.0573,0.0475,0.073,0.0475,0.0485,0.0495,0.0652,0.0654,0.0966
ndcg@20,0.0741,0.0722,0.0787,0.0699,0.0899,0.0935,0.0851,0.0782,0.1033,0.0723,0.0733,0.0731,0.0894,0.0934,0.1217
