,azuki_3,bayc_3,coolcats_3,doodles_3,meebits_3
recall@1,0.0182,0.0095,0.0254,0.017,0.0397
recall@2,0.0349,0.0312,0.0515,0.0339,0.0585
recall@5,0.0799,0.0754,0.1271,0.0814,0.1226
recall@10,0.1548,0.1474,0.2287,0.1554,0.2193
recall@20,0.2896,0.3112,0.3597,0.2771,0.3552
mrr@1,0.0189,0.0095,0.0261,0.017,0.0397
mrr@2,0.0274,0.0208,0.0391,0.0255,0.0502
mrr@5,0.0392,0.0326,0.0592,0.0383,0.0674
mrr@10,0.0493,0.0418,0.0726,0.0479,0.0806
mrr@20,0.0585,0.0528,0.0815,0.0565,0.0897
ndcg@1,0.0189,0.0095,0.0261,0.017,0.0397
ndcg@2,0.0291,0.0233,0.042,0.0277,0.0521
ndcg@5,0.0487,0.0427,0.0756,0.0488,0.0803
ndcg@10,0.0729,0.0656,0.1083,0.0724,0.1118
ndcg@20,0.1068,0.1065,0.1411,0.1033,0.1459
hit@1,0.0189,0.0095,0.0261,0.017,0.0397
hit@2,0.0358,0.0322,0.0522,0.0339,0.0606
hit@5,0.0816,0.0777,0.1277,0.0825,0.1254
hit@10,0.1592,0.1496,0.2294,0.158,0.2236
hit@20,0.295,0.3144,0.3626,0.282,0.3595
map@1,0.0189,0.0095,0.0261,0.017,0.0397
map@2,0.0267,0.0204,0.0385,0.0255,0.0494
map@5,0.0382,0.0317,0.0586,0.0381,0.0662
map@10,0.048,0.0409,0.072,0.0475,0.0792
map@20,0.0572,0.0518,0.0808,0.056,0.0883
precision@1,0.0189,0.0095,0.0261,0.017,0.0397
precision@2,0.0179,0.0161,0.0261,0.017,0.0303
precision@5,0.0163,0.0155,0.0258,0.0165,0.0251
precision@10,0.0161,0.015,0.0231,0.0159,0.0224
precision@20,0.015,0.0157,0.0182,0.0143,0.0181
gauc,0.5837000012397766,0.5680999755859375,0.6243000030517578,0.576200008392334,0.6189000010490417
