,azuki_3,bayc_3,coolcats_3,doodles_3,meebits_3
recall@1,0.0148,0.0133,0.0137,0.0105,0.0146
recall@2,0.0322,0.0208,0.0192,0.0205,0.0298
recall@5,0.0658,0.054,0.0577,0.0469,0.079
recall@10,0.12,0.0975,0.1113,0.0914,0.1501
recall@20,0.238,0.2138,0.2342,0.1973,0.2702
mrr@1,0.0154,0.0133,0.0137,0.0105,0.0146
mrr@2,0.0241,0.017,0.0165,0.0155,0.0225
mrr@5,0.0331,0.0265,0.0267,0.0226,0.0359
mrr@10,0.0404,0.032,0.0338,0.0283,0.045
mrr@20,0.0485,0.0399,0.042,0.0354,0.0533
ndcg@1,0.0154,0.0133,0.0137,0.0105,0.0146
ndcg@2,0.026,0.018,0.0172,0.0168,0.0243
ndcg@5,0.0407,0.0332,0.0341,0.0285,0.0463
ndcg@10,0.0583,0.0469,0.0514,0.0426,0.0687
ndcg@20,0.088,0.0759,0.0821,0.0691,0.0991
hit@1,0.0154,0.0133,0.0137,0.0105,0.0146
hit@2,0.0328,0.0208,0.0192,0.0205,0.0303
hit@5,0.0677,0.0549,0.0591,0.0474,0.0805
hit@10,0.1224,0.0985,0.1126,0.0919,0.1526
hit@20,0.2413,0.2178,0.2349,0.1989,0.2738
map@1,0.0154,0.0133,0.0137,0.0105,0.0146
map@2,0.0236,0.017,0.0165,0.0155,0.0222
map@5,0.0322,0.0262,0.0264,0.0224,0.0354
map@10,0.0394,0.0317,0.0335,0.0281,0.0443
map@20,0.0474,0.0394,0.0418,0.0352,0.0526
precision@1,0.0154,0.0133,0.0137,0.0105,0.0146
precision@2,0.0164,0.0104,0.0096,0.0102,0.0152
precision@5,0.0136,0.011,0.0118,0.0095,0.0161
precision@10,0.0123,0.0098,0.0113,0.0092,0.0153
precision@20,0.0121,0.0109,0.0118,0.0099,0.0137
gauc,0.5436999797821045,0.5139999985694885,0.5313000082969666,0.5044000148773193,0.5799999833106995
