,azuki_3,bayc_3,coolcats_3,doodles_3,meebits_3
recall@1,0.0104,0.0294,0.0179,0.0145,0.0185
recall@2,0.0279,0.0426,0.0302,0.028,0.0315
recall@5,0.0633,0.0938,0.0769,0.0717,0.0926
recall@10,0.1237,0.1866,0.1745,0.1275,0.1726
recall@20,0.2245,0.3447,0.3549,0.2487,0.3063
mrr@1,0.0104,0.0303,0.0192,0.0152,0.0199
mrr@2,0.0194,0.0369,0.0254,0.0222,0.0266
mrr@5,0.0292,0.05,0.0372,0.0338,0.0437
mrr@10,0.0371,0.0614,0.0501,0.0412,0.0542
mrr@20,0.0438,0.072,0.0623,0.0493,0.0634
ndcg@1,0.0104,0.0303,0.0192,0.0152,0.0199
ndcg@2,0.0216,0.0379,0.026,0.0235,0.0274
ndcg@5,0.0375,0.0605,0.0462,0.0423,0.0548
ndcg@10,0.0567,0.0895,0.0775,0.0603,0.0803
ndcg@20,0.0819,0.1289,0.1228,0.0905,0.114
hit@1,0.0104,0.0303,0.0192,0.0152,0.0199
hit@2,0.0284,0.0436,0.0316,0.0293,0.0334
hit@5,0.0642,0.0947,0.0783,0.0743,0.0961
hit@10,0.1259,0.1875,0.1758,0.1305,0.1787
hit@20,0.2284,0.3466,0.3585,0.2522,0.3156
map@1,0.0104,0.0303,0.0192,0.0152,0.0199
map@2,0.0193,0.036,0.024,0.0215,0.0253
map@5,0.0288,0.0495,0.0359,0.0324,0.042
map@10,0.0365,0.0609,0.0487,0.0398,0.0521
map@20,0.0432,0.0714,0.0608,0.0478,0.0611
precision@1,0.0104,0.0303,0.0192,0.0152,0.0199
precision@2,0.0142,0.0218,0.0158,0.0146,0.0167
precision@5,0.0128,0.0193,0.0157,0.0149,0.0194
precision@10,0.0126,0.0189,0.0176,0.013,0.0181
precision@20,0.0114,0.0174,0.0179,0.0127,0.0159
gauc,0.5299000144004822,0.6399999856948853,0.6388000249862671,0.5503000020980835,0.6064000129699707
