,azuki_3,bayc_3,coolcats_3,doodles_3,meebits_3
recall@1,0.0115,0.0097,0.0124,0.0122,0.0304
recall@2,0.0222,0.0194,0.0234,0.0196,0.043
recall@5,0.0541,0.0524,0.0513,0.0518,0.0797
recall@10,0.1046,0.1079,0.104,0.1017,0.1443
recall@20,0.202,0.1934,0.2029,0.2051,0.2507
mrr@1,0.0115,0.0097,0.0124,0.0122,0.0304
mrr@2,0.0169,0.0145,0.0181,0.0159,0.0369
mrr@5,0.0253,0.0231,0.025,0.0244,0.0462
mrr@10,0.032,0.0303,0.0317,0.0309,0.0546
mrr@20,0.0385,0.036,0.0385,0.0379,0.0619
ndcg@1,0.0115,0.0097,0.0124,0.0122,0.0304
ndcg@2,0.0182,0.0158,0.0194,0.0169,0.0385
ndcg@5,0.0323,0.0303,0.0313,0.0311,0.0543
ndcg@10,0.0486,0.048,0.048,0.0471,0.0749
ndcg@20,0.0728,0.0692,0.073,0.0729,0.1016
hit@1,0.0115,0.0097,0.0124,0.0122,0.0304
hit@2,0.0223,0.0194,0.0237,0.0196,0.0435
hit@5,0.0546,0.0529,0.0516,0.052,0.0802
hit@10,0.1054,0.1084,0.1043,0.102,0.1452
hit@20,0.2033,0.1938,0.2039,0.2062,0.2526
map@1,0.0115,0.0097,0.0124,0.0122,0.0304
map@2,0.0168,0.0145,0.0179,0.0159,0.0368
map@5,0.0252,0.0231,0.0249,0.0244,0.046
map@10,0.0319,0.0302,0.0315,0.0309,0.0543
map@20,0.0383,0.0359,0.0383,0.0378,0.0615
precision@1,0.0115,0.0097,0.0124,0.0122,0.0304
precision@2,0.0111,0.0097,0.0119,0.0098,0.0218
precision@5,0.0109,0.0106,0.0103,0.0104,0.016
precision@10,0.0105,0.0108,0.0104,0.0102,0.0145
precision@20,0.0102,0.0097,0.0102,0.0103,0.0126
gauc,0.4963000118732452,0.4941000044345855,0.4995000064373016,0.4995000064373016,0.5157999992370605
