,azuki_0,azuki_3,azuki_5,bayc_0,bayc_3,bayc_5,coolcats_0,coolcats_3,coolcats_5,doodles_0,doodles_3,doodles_5,meebits_0,meebits_3,meebits_5
recall@1,0.0048,0.0056,0.0106,0.0088,0.0144,0.0098,0.0041,0.0095,0.0035,0.0066,0.0097,0.007,0.0012,0.0028,0.0163
recall@2,0.012,0.0129,0.0194,0.0132,0.0206,0.0098,0.0089,0.019,0.0071,0.0113,0.0175,0.0193,0.0075,0.0075,0.0256
recall@5,0.028,0.0335,0.0318,0.0379,0.0535,0.0294,0.0213,0.0434,0.0318,0.0304,0.0362,0.0459,0.0321,0.0308,0.0676
recall@10,0.0595,0.0718,0.075,0.069,0.1152,0.0588,0.0646,0.0741,0.0883,0.0672,0.0755,0.0792,0.0635,0.0692,0.1259
recall@20,0.1335,0.1412,0.1695,0.1285,0.2078,0.2353,0.1372,0.155,0.212,0.1423,0.154,0.1598,0.132,0.1571,0.2331
recall@50,0.3894,0.4005,0.4559,0.3827,0.4959,0.6814,0.3868,0.4392,0.5583,0.3968,0.4163,0.4394,0.3608,0.4397,0.5524
mrr@1,0.0048,0.0056,0.0106,0.0088,0.0144,0.0098,0.0041,0.0095,0.0035,0.0066,0.0097,0.007,0.0016,0.0028,0.0163
mrr@2,0.0085,0.0092,0.015,0.011,0.0175,0.0098,0.0065,0.0143,0.0053,0.0091,0.0136,0.0131,0.0047,0.0051,0.021
mrr@5,0.0128,0.0149,0.018,0.0173,0.0257,0.015,0.0094,0.0207,0.0124,0.0142,0.0183,0.0197,0.011,0.0113,0.0308
mrr@10,0.0168,0.0199,0.0238,0.0212,0.0334,0.0192,0.0152,0.0246,0.0193,0.0189,0.0232,0.0239,0.0152,0.0164,0.0381
mrr@20,0.0217,0.0245,0.03,0.0252,0.0395,0.0307,0.0201,0.0301,0.028,0.024,0.0286,0.029,0.0198,0.0221,0.0455
mrr@50,0.0292,0.0323,0.0386,0.0326,0.0481,0.0443,0.0272,0.0384,0.0385,0.0315,0.0364,0.0374,0.0267,0.0307,0.0553
ndcg@1,0.0048,0.0056,0.0106,0.0088,0.0144,0.0098,0.0041,0.0095,0.0035,0.0066,0.0097,0.007,0.0016,0.0028,0.0163
ndcg@2,0.0094,0.0102,0.0162,0.0116,0.0183,0.0098,0.0071,0.0155,0.0058,0.0096,0.0146,0.0148,0.0053,0.0058,0.0222
ndcg@5,0.0165,0.0195,0.0214,0.0223,0.0324,0.0185,0.0123,0.0263,0.0172,0.0181,0.0227,0.026,0.016,0.016,0.0396
ndcg@10,0.0265,0.0318,0.0354,0.0321,0.0518,0.0283,0.0263,0.036,0.0348,0.0298,0.0351,0.0365,0.0261,0.0284,0.058
ndcg@20,0.0449,0.0491,0.0588,0.0469,0.0749,0.0719,0.0444,0.0563,0.0662,0.0486,0.0548,0.0564,0.0432,0.0502,0.0851
ndcg@50,0.0946,0.0996,0.1148,0.0962,0.131,0.1593,0.0925,0.1114,0.134,0.0981,0.106,0.1109,0.0878,0.1056,0.1478
hit@1,0.0048,0.0056,0.0106,0.0088,0.0144,0.0098,0.0041,0.0095,0.0035,0.0066,0.0097,0.007,0.0016,0.0028,0.0163
